번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
28,좌측 차량 분류가 너무 많아요.,코쿤Ii4I일산,2026.01.28. 15:54,조회 36,karm00,준회원
29,EV3 출고 했습니다.,별IEV3I제천,2026.01.28. 15:54,조회 109,frostpeople,신입
30,성남시 보조금 나왔네요,알렉ㅣ미보유 I 성남,2026.01.28. 15:50,조회 102,jjw0618,신입
31,개인사업자 소상공인혜택에 대해서 아시는분,무얼사지I양주,2026.01.28. 15:49,조회 47,mizes,신입
32,경남 거창군 보조금 폭망 500만 삭감 ㄷㄷㄷ,갈릭반Iev9I세종,2026.01.28. 15:48,조회 314,hukdrone0708,우수회원
33,천안 전기차 보조금 공고,준캐슬I천안,2026.01.28. 15:40,조회 201,pdh7586,준회원
34,첫 전기차.. 테슬라 못기다리겠습니다..,롤란드ll모델3,2026.01.28. 15:39,조회 252,ne_yo91,준회원
35,EV5 구입들 많이들 하나요?,의정부I홀리스틱I,2026.01.28. 15:39,조회 149,iseongju0419,신입
36,출석체크하는 항목이 있나요?,마세잉l테슬라ㅣ경기,2026.01.28. 15:37,조회 17,hma3656,신입
37,2월3일 접수,득구lEV4l전남,2026.01.28. 15:36,조회 54,skdakssn,신입
38,ev3 겨울 주행 전비입니다^^,사호니lev3l청주,2026.01.28. 15:34,조회 157,gkstkdgns156,준회원
39,주니퍼 시승,경서맘2,2026.01.28. 15:31,조회 53,finejoung3,신입
40,재고확인..,날씨좋군II경북,2026.01.28. 15:28,조회 189,gh68kr,준회원
41,테슬라YL 나오면 아이오닉9,태리l경북포항,2026.01.28. 15:24,조회 195,daeleey,준회원
42,양산 보조금이 작년 기준에 상반기 소진 기간이 언제였나요?,핫핑크,2026.01.28. 15:24,조회 95,togrok,신입
43,아이오닉5 21년식 프레(리볼트구매),부산II쀼직쿵,2026.01.28. 15:21,조회 93,henoheno5740,신입
44,EV3 출고기간,구미llev3,2026.01.28. 15:15,조회 155,two6525,준회원
45,겨울철 충전속도,서산 포시즌,2026.01.28. 15:14,조회 33,duke7o,신입
46,전기차보험 어디가입하셨나요?,페이스앤젤I포항,2026.01.28. 15:14,조회 104,h7c7j7,준회원
47,레이 ev 순번 74번이라는데,누나I레이EVI충북,2026.01.28. 15:12,조회 135,goora11dan,신입
48,아파트 지하주차장 전기차 충전기 다시 생기네요,포트거스lEV4l경기도,2026.01.28. 15:09,조회 162,5th986,신입
49,날씨가 너무 춥네요. 요즘 날씨에 전비는 어떤가요?,평안이I경기,2026.01.28. 15:08,조회 19,lilyblossom,준회원
50,보조금 신청완료 기간이 얼마나 걸릴까요??,배당왕lEV4l경기,2026.01.28. 15:08,조회 103,xennie85,준회원
51,ev5 에어 롱레인지,김포대교l전주,2026.01.28. 15:08,조회 161,wnddkd161200,준회원
52,경상남도 너무하네요... 보조금삭감 관련 문의 답변이 같음,프루츠I경남,2026.01.28. 15:00,조회 247,thisisabook,신입
53,보조금승인만기다리고있네요,띠로룡Iev4I남양주,2026.01.28. 14:59,조회 98,sd585,준회원
54,드디어 보조금 신청!,최가Iev4I경기,2026.01.28. 14:58,조회 158,chldndud330,준회원
55,틴팅 고민중이라서 선배님들 조언을 듣고싶습니다.,경기ll밍밍22,2026.01.28. 14:56,조회 54,01030551739,신입
56,EV3·EV4 0% 대 초저금리 할부,포트거스lEV4l경기도,2026.01.28. 14:56,조회 216,5th986,신입
57,부천도 보조금 신청시작일 나왔네요,멸병I서울,2026.01.28. 14:53,조회 126,wgp1541,신입
58,전기차 관심 생겼는데… 실제로 타보신 분들 장단점 좀 알려주세요,우량아잉,2026.01.28. 14:53,조회 78,pivarious,신입
59,전방 유리 썬팅 필름 뜯어 버림,kick세닉seoul,2026.01.28. 14:52,조회 72,sdrun,준회원
60,대전 지역 ev5 구매할려는데 키마스터 소개좀 부탁드립니다,2232323,2026.01.28. 14:51,조회 10,pch7429,신입
61,Id4 드럼식 브레이크 문의드립니다,미친광법사,2026.01.28. 14:50,조회 31,dieman1208,신입
62,EV3 유예할부 중도상환 가능 여부..?,나도 전기차I화성I,2026.01.28. 14:50,조회 96,kyb2148,신입
63,광주광역시 기아차 딜러분 소개좀 부탁드려요,간지I광주광역시,2026.01.28. 14:46,조회 20,hk790824,준회원
64,경남 거창군 보조금 확정이네요.,그랭그랭I경남,2026.01.28. 14:45,조회 149,gremmie,준회원
65,EV5 어스 견적서 받아봤습니다,밥샤프l대구,2026.01.28. 14:45,조회 129,tongdongdong,준회원
66,테슬라 모델3,테슬레I충북,2026.01.28. 14:43,조회 50,leeks8948,준회원
67,ev5 택시계약,가로등11,2026.01.28. 14:40,조회 157,psh9081206,신입
68,EV3 고민중입니다.,모터데이I경기,2026.01.28. 14:40,조회 41,gktldhs67,신입
69,화성시 보조금 도대체 언제 접수일까요?,화성ll박껀,2026.01.28. 14:35,조회 94,mileniaum,신입
70,강원도 원주의 전기차 보조금.,낭만수라I예비I원주,2026.01.28. 14:33,조회 50,gungbed,준회원
71,대구시 보조금 확정,유유진I대구,2026.01.28. 14:32,조회 241,ssh0759,신입
72,정보 탐색 중입니다 ㅎㅎ,젬ev6I서울,2026.01.28. 14:31,조회 12,jmkoko,신입
73,이 정도면 무상수리 들어가야할까요? 아니면 그냥 타야할까요....?,오엔오엔I아5nI대구,2026.01.28. 14:30,조회 179,clickme1125,준회원
74,ev3 딜러서비스요,짱토리2016,2026.01.28. 14:28,조회 58,yunju860813,신입
75,내연기관 폐차시 지원금관련 고수님들 답변좀...,춥다당l세닉l경기,2026.01.28. 14:27,조회 113,ryusky97,준회원
76,지금 계약 직전인데 말리는건지 봐주세요 계속 계약 강요해서요ㅜ(제발 알려주세요),뚀뚀ㅣ천안,2026.01.28. 14:26,조회 505,gofks834,준회원
77,지원금이 궁금하네요,다둥이I오닉5I춘천,2026.01.28. 14:25,조회 22,chash1004,준회원
78,"첫 신차입니다. 모델Y 주니퍼 감성 vs EV5 현실, 900만 원 차이",차둘이I충남,2026.01.28. 14:23,조회 382,rudgudrn,준회원
79,색상선택 고민중~,다둥이I오닉5I춘천,2026.01.28. 14:20,조회 25,chash1004,준회원
80,아이오닉6 승차감,돈부I아이오닉6I평택,2026.01.28. 14:18,조회 75,oys3122,신입
81,"주차중 접촉사고, 하이테크센터에 입고해야할까요?",우탕이I아5I수원,2026.01.28. 14:15,조회 114,william98,준회원
82,아오닉 9 사신분들 딜러서비스말인데요ㅜ,뚀뚀ㅣ천안,2026.01.28. 14:14,조회 129,gofks834,준회원
83,서울시는 보조금 승인 언제되나...,공자IEV5I서울,2026.01.28. 14:13,조회 90,lovewit,준회원
84,경남 창원 EV3 재고차 남아 있을까요?,깡통찬야옹이,2026.01.28. 14:13,조회 93,ath4269,준회원
85,"中, 로봇에 ‘LG엔솔’ 기습 탑재",두꺼티l인천,2026.01.28. 14:06,조회 158,ggaggajung,준회원
86,id4 구형과 신형,알렉ㅣ미보유 I 성남,2026.01.28. 14:03,조회 93,,신입
87,슬픈예감은 항상 틀리질 않는지 ㅋㅋ,캠퍼I경남,2026.01.28. 14:01,조회 479,fuck_yoobibo,준회원
88,전환지원금은 전국 동일하게 진행입니다.,엔드IEV6I대전,2026.01.28. 14:01,조회 266,nocturne_7,준회원
89,볼보 EX30CC HUD 추천 부탁드립니다.,서안파파IEX30CCI전남,2026.01.28. 14:00,조회 16,blacksuze,신입
90,아 EV5사고싶다 ㅠ,할리타고IEV3I경북,2026.01.28. 13:58,조회 133,alstjr811,준회원
91,기존차 폐차 중고판매시 딜러한테 맡기세요,바람구름I세닉I경남,2026.01.28. 13:50,조회 272,ioiiviii,준회원
92,현기 전기차 인기투표 (옵션무시),타요I예비I용인,2026.01.28. 13:49,조회 178,sw1261,신입
93,Ev4 랑 EV5 고민중,미누미누미눙,2026.01.28. 13:47,조회 111,탈퇴한 멤버,
94,"테슬라, 2026년 서울시 추가 전기차 보조금 최대 300만 원+α 받을 수 있다… 청년·다자녀·전환지원금 총정리",해I모y아5I서울,2026.01.28. 13:46,조회 120,hwajakim2,준회원
95,현재 제일 가성비 전기차가 뭐죠??,체크인데이day,2026.01.28. 13:46,조회 350,tjdgus9869,준회원
96,빌트인캠 옵션,찡숭I제주,2026.01.28. 13:43,조회 98,mypark4222,준회원
97,갈팡질팡 내마음,유유진I대구,2026.01.28. 13:39,조회 39,ssh0759,신입
98,ev6 가격인하+재고차? 문의,슬립I폴스타2I양주,2026.01.28. 13:38,조회 209,edkstkd,준회원
99,충전카드 추천 부탁드려요!,놀래미l아4l광주,2026.01.28. 13:33,조회 23,ktycjstk6836,준회원
100,전환지원금 신청하신분 계신가요?,이브이아홉마리I화성,2026.01.28. 13:30,조회 201,kangjae07,신입
101,EV4 증강현실네비 사용하려면 빌캠2 있어야하나요?,하츠동IEV4I광주,2026.01.28. 13:30,조회 150,crazyymca,신입
102,보조금 신청 질문,깽딩IEV4I광주,2026.01.28. 13:28,조회 86,kimjunseo1229,준회원
103,시흥시 보조금 늦어요,피쿠민IEV5l시흥,2026.01.28. 13:27,조회 41,bsi4020,신입
104,[강원도 원주] 전기차 보조금이 25년 대비 줄었네요 ㅠㅠ,낭만수라,2026.01.28. 13:26,조회 103,gungbed,준회원
105,EV4 GT LINE 출고되어 썬팅하러 왔어요,전곡ev4 gt,2026.01.28. 13:26,조회 87,qzqz1111,준회원
106,EV4 내부색상 그레이가 이쁜데...,장군 맘,2026.01.28. 13:26,조회 98,sopie76,신입
107,창원이라 슬프네요 ㅜ,맛집I창원,2026.01.28. 13:22,조회 147,ekrkwk,신입
108,보조금 못받을 확률이 높을까요?,러블리영I예비I강원,2026.01.28. 13:21,조회 223,hyyun08,준회원
109,아이오닉 9 썬팅 다들 어떤거받으셨나용?,뚀뚀ㅣ천안,2026.01.28. 13:18,조회 132,gofks834,준회원
110,"여주시, 전기차 보급사업 조기 추진",해I모y아5I서울,2026.01.28. 13:17,조회 112,hwajakim2,준회원
111,보조금 및 할인관련 궁금합니다.,아이오닉9 강원,2026.01.28. 13:14,조회 127,wonhaw,준회원
112,ev3 재고차 남아 있는 거 있나요?,경북l모델Yl빵심당,2026.01.28. 13:10,조회 188,ytj1862,신입
113,테슬라 일시불 실물카드 우편배송 전에 결제,정시딩,2026.01.28. 13:10,조회 39,jhj2557,신입
114,캐스퍼ev 1년기다리고 구매 가격은 올랐네요 ㅋㅋㅋ,라임I캐스퍼I전주,2026.01.28. 13:07,조회 188,dlgudrb7,준회원
115,"강원자치도, 전기차 7,838대 ‘역대 최대’ 보급… 전년 대비 82% 파격 확대",해I모y아5I서울,2026.01.28. 13:06,조회 91,hwajakim2,준회원
116,현대 다운 프로모션 궁금중,노형I제주,2026.01.28. 13:05,조회 146,jjm3483,신입
117,1회 충전 주행거리 어느 정도면 괜찮을까요?,이브이4 I 인천,2026.01.28. 12:55,조회 125,zero1864,신입
118,코나 일레트릭 보고있는데...,용녀진해,2026.01.28. 12:54,조회 46,xogns7321,신입
119,보통 플러브인하이브리드 차량들,럭꼬I모델3I울산,2026.01.28. 12:51,조회 74,wlswkr123,준회원
120,보조금 접수하면,안녕하IEV3I부산,2026.01.28. 12:46,조회 100,shgusals37,준회원
121,기아 어플에 계약으로 뜨면 확정인건가여??,가즈아96,2026.01.28. 12:46,조회 283,qjawls9130,준회원
122,전기차 충전시,콩콩Iev6I광주,2026.01.28. 12:43,조회 44,r2b83,신입
123,경남이고 창원이고 ..... 이해불가네요 ㅋ,유봉이I볼트EUVl창원,2026.01.28. 12:42,조회 760,didtlfwh,정회원
124,니로 ev,라모스I대구,2026.01.28. 12:38,조회 51,wlsls45,신입
125,모델y 타다가 아이오닉9 추가구매하고자 합니다.,에문ImdyI경기,2026.01.28. 12:38,조회 62,chlgmlans88,신입
126,보조금 신청 접수 후 얼마정도만에 차 받으셨어요?,고산지대lEV3l오산,2026.01.28. 12:37,조회 162,blackcastle2,준회원
127,아반떼 타다가 디스크 터지기직전이라,달빛섬광l충주,2026.01.28. 12:35,조회 163,drivetime,신입
128,오늘 모델 3 시승했습니다.,경남ll모델3,2026.01.28. 12:33,조회 101,willco,신입
129,전기차 충전 재밌네요~,남보로v79,2026.01.28. 12:30,조회 109,namboro,신입
130,새 전기차 타이어 교체,곰팅곰탱I평택,2026.01.28. 12:29,조회 62,durt132,준회원
131,재고차 보조금신청후 출고까지 얼마나걸릴까요?,올라애비lEV5l충북,2026.01.28. 12:27,조회 132,tlsdmscjf66,준회원
132,전기차 전용구역에 내연기관차가 오면 안됩니다,선풍기I오닉5I충북,2026.01.28. 12:23,조회 99,strchoapp,준회원
133,모두들 점심 맛있게 드세요,행복나의삶lev6l경기,2026.01.28. 12:22,조회 5,qkeutaxl283,신입
134,아우디 q4로 질렀네요,남보로v79,2026.01.28. 12:21,조회 81,,신입
135,ev5 선택완료...길고 긴 선택장애의 끝,두암동동I광주,2026.01.28. 12:17,조회 244,y_b_f_c,준회원
136,ev차량 승차감,주목울타리,2026.01.28. 12:16,조회 81,탈퇴한 멤버,
137,전라북도 떴네요!!,엔드IEV6I대전,2026.01.28. 12:14,조회 348,,준회원
138,핸들 소음 뭘까요?,신기루I아오5I대구,2026.01.28. 12:12,조회 31,salf1212,준회원
139,아이가 생긴 후 패밀리카로 모델3에서 아이오닉5 기변,Jony120,2026.01.28. 12:12,조회 137,ljiiii,신입
140,2월초에 보조금신청하면,득구lEV4l전남,2026.01.28. 12:11,조회 144,skdakssn,신입
141,아산시는 592대 같네요,스텔라lev3l천안,2026.01.28. 12:10,조회 121,sakoorambo,준회원
142,타이어 교체 주기 질문,헤리슨l모델3l파주,2026.01.28. 12:10,조회 41,lausdeo29,신입
143,수원시 보조금도 공고 되었네요!,ev자객l수원,2026.01.28. 12:07,조회 82,wss82,신입
144,IX1 승차감 문의,김우짱I김해,2026.01.28. 12:06,조회 42,zaq158,준회원
145,THE LX 하고 솔라가드 프리미엄 의 관계는 어떻게 되나요??,만두I대구,2026.01.28. 12:06,조회 22,chunja0517,준회원
146,전그냥 테슬라로 갈래요,와사비는달콤해I광주,2026.01.28. 12:06,조회 129,redkimcci,준회원
147,반사/반반사는 다 전파방해가 있을까요?,초야I구오닉I용인,2026.01.28. 12:04,조회 78,kiru1742,준회원
148,GV70 페달,봄가을I아닉6I경기,2026.01.28. 12:02,조회 23,ckddn57,준회원
149,충전한도,똑라면I세종,2026.01.28. 12:00,조회 15,unjea,준회원
150,ev3 계약했는대 재고차 다 떨어진건 아니게죠?,드림 전북,2026.01.28. 12:00,조회 268,osc405,신입
151,아이오닉3출시,경북따라고,2026.01.28. 11:57,조회 52,2767360,준회원
152,전기차 추천부탁해요,부탄가스I인천,2026.01.28. 11:55,조회 71,jueun0930,준회원
153,아이오닉9 vk 썬팅 하신분 사진좀 올려주세요^^,만두I대구,2026.01.28. 11:51,조회 34,chunja0517,준회원
154,썬팅문의,똑라면I세종,2026.01.28. 11:45,조회 20,unjea,준회원
155,테슬라 대기기간,똑라면I세종,2026.01.28. 11:43,조회 156,unjea,준회원
156,서울 보조금 변동 있네요..,뽀시래기lIONIQ6I경남,2026.01.28. 11:42,조회 330,sooya219,우수회원
157,EV6 스탠다드 롱레인지 다른점!?,김쟁IEV6I화성,2026.01.28. 11:40,조회 140,wodn1073,신입
158,현재 현대/기아 유예할부 참고하셔야 할 점!,나이스I볼트EUVI강원,2026.01.28. 11:36,조회 778,ysyu428,준회원
159,ex60 과 폴스타4 어떤 모델이 더 좋을 지 궁금합니다.,하지장,2026.01.28. 11:32,조회 185,hajijang2,신입
160,테슬라 출고 방법 문의,걱정없는 삶,2026.01.28. 11:31,조회 85,feellovezxc,신입
161,테슬라 ~ ~,뚜끼,2026.01.28. 11:29,조회 45,rkddlsdbwjd,신입
162,모델 Y Premium RWD 계약하신분,걱정없는 삶,2026.01.28. 11:29,조회 66,feellovezxc,신입
163,천안시 보조금,걱정없는 삶,2026.01.28. 11:28,조회 144,feellovezxc,신입
164,회사 입장에서 충전기 설치시,럭꼬I모델3I울산,2026.01.28. 11:27,조회 122,wlswkr123,준회원
165,집밥 없는 전기차는 앙꼬 없는 찐빵 아닐까요?,원주민IQ4etronI경기,2026.01.28. 11:27,조회 208,iskywao,준회원
166,제가 사는 지역은 아직도 보조금이 안 열렸나봐요.,완전개차반I경남,2026.01.28. 11:24,조회 112,inchang_lee,준회원
167,혹시 금주 월요일 보조금 신청하신분 계실까요?,웅이I아6I서울,2026.01.28. 11:22,조회 60,klavierlove,준회원
168,90프로 충전 했는데,전북S푸우,2026.01.28. 11:22,조회 151,byul1020,신입
169,선배님들의 조언 여쭙고자 글 작성 합니다^^.,부릉부릉오토라이더,2026.01.28. 11:19,조회 30,wjddlsrn11,신입
170,"테슬라, 중국 전용 ‘모델 Y L 플러스’ 출시설… 88kWh 대용량 배터리 탑재, 2026년 Q2~Q3 출시 예상",해I모y아5I서울,2026.01.28. 11:19,조회 253,hwajakim2,준회원
171,단독주택이 최고임. ㅎㅎ,근육돼지l볼트l경기광,2026.01.28. 11:17,조회 264,batista5465,준회원
172,"15년식 k5(가솔린) 타고있는데, 차 교체 타이밍이 참 고민이네요",벚스커벚스커,2026.01.28. 11:13,조회 47,vbeomjunv,신입
173,Q4이트론 차 화면에서 유튜브 보고 싶은데 뭐사면 될까요?,클라이버le트론l대구,2026.01.28. 11:08,조회 22,corno1203,준회원
174,"기아, PV5 3종 출시…휠체어승객·소상공인·특장업체 맞춤화",해I모y아5I서울,2026.01.28. 11:08,조회 119,hwajakim2,준회원
175,겨울철 충전하고 몇km 타시나요?,금연하는날I인천I,2026.01.28. 11:05,조회 162,inhaeng11,준회원
176,전기차 배터리 얼마나 쓰나요?,테라테슬라I진천,2026.01.28. 11:05,조회 73,wkdekgml5937,신입
177,집밥 충전기 7k 제품 추천 좀 부탁 드립니다~,지엘이쿱IEV6I전북,2026.01.28. 11:01,조회 57,zlemfkr777,신입
178,ev4 재고차 리스트 있으신 분 계신가유..,오백냥이2l경기,2026.01.28. 10:59,조회 239,ghwo2264,준회원
179,OTA 업데이트 대비용 무료 데이터 가입이 필요합니다.,비타민비IG80eI서울,2026.01.28. 10:57,조회 65,supellus,우수회원
180,ev3 vs 셀토스 하이브리드,둥둥I전남,2026.01.28. 10:55,조회 251,opera0328,신입
181,테슬라 기다리는중,다이스키I충북,2026.01.28. 10:53,조회 72,wkdekgml5937,신입
182,괜히 아이오닉 일렉트릭 보다 닛산 리프 2세대가 끌리는 현상,임디요,2026.01.28. 10:52,조회 43,candyjelly113,신입
183,중고 전기차 살때 주의사항이 뭐가 있을까요?,건즈I서울,2026.01.28. 10:52,조회 47,ghpark900801,신입
184,블랙PPF로 루프스킨 하면 최소5년이상 수명이 지속될까요?,sinI아이오닉6I경남,2026.01.28. 10:50,조회 45,sinkfc,신입
185,아이오닉5 구매 문의,파주Q벌레,2026.01.28. 10:49,조회 21,jihyuhyuji,신입
186,와.. 전기차 재고차로 나올지 알았는데,와사비는달콤해I광주,2026.01.28. 10:47,조회 823,redkimcci,준회원
187,광주광역시 보조금 관련 공고 올라왔습니다.,프레시IEV3I광주,2026.01.28. 10:45,조회 246,bhs7849,준회원
188,아이오닉9 vs 테슬라 yL,부산ll후니아빠,2026.01.28. 10:42,조회 220,pront2000,준회원
189,돌핀 2가지 트림 보조금 금액이 나왔네요,굿윌헌팅2,2026.01.28. 10:41,조회 228,kkbong80,준회원
190,아오9기다리는 중,초록밀크I아오9I경남,2026.01.28. 10:39,조회 60,danji56,신입
191,"[아이오닉9 2026 올해의 차 수상 축하] 아이오닉9이 선택받은 이유, 결국 ‘전기 SUV의 기준’이어서",지봉이IGV60I서울,2026.01.28. 10:37,조회 57,jthyng,준회원
192,대구광역시 출고 얼마나 걸릴까요?,대구코나일렉트릭,2026.01.28. 10:32,조회 122,tnsduf141,신입
193,세종시 전기차 보조금 접수...,Ev4ready,2026.01.28. 10:28,조회 146,minkijang147,신입
194,BWW I3 (구형) 손잡이 빠짐 문제,부산ll후니아빠,2026.01.28. 10:28,조회 17,pront2000,준회원
195,당진시 전기차 300대라고 하네요,미녀기IEV4I당진,2026.01.28. 10:27,조회 187,hyuk3829,준회원
196,보험료 대략 얼마정도 나올까요?,수박꽁지,2026.01.28. 10:25,조회 93,kmj79mini,신입
197,썬팅 추천 좀 해주세요~,크리스IeGV70I경남,2026.01.28. 10:25,조회 52,savior9317,준회원
198,EV4 재고차,베테랑IEV4I청주,2026.01.28. 10:22,조회 230,hbj9769,신입
199,세종시 보조금,똑라면I세종,2026.01.28. 10:21,조회 30,unjea,준회원
200,전기차를 많이 알아본 결과,서울ll마케터,2026.01.28. 10:20,조회 759,ayn1115,준회원
201,BYD 씨걸 국내 출시될까요 올해,충주캐스퍼,2026.01.28. 10:16,조회 80,dbsgh854,신입
202,"""영국에선 1억 원 넘는다"" 현대차, 아이오닉 6 N 영국 공식 출시",해I모y아5I서울,2026.01.28. 10:13,조회 159,hwajakim2,준회원
203,"춘천시, 전기차·수소차 보조금 지원 2일부터 접수",해I모y아5I서울,2026.01.28. 10:09,조회 57,hwajakim2,준회원
204,서울출고 얼마나 걸릴까요?,서울ll마케터,2026.01.28. 10:09,조회 71,ayn1115,준회원
205,여러분이 생각하는 가장 가성비 있는 전기차는 뭔가요...,건스샾,2026.01.28. 10:09,조회 439,ghpark900801,신입
206,BYD 돌핀 구형 확정이네요,충북ll은갚두,2026.01.28. 10:09,조회 742,opshhy,준회원
207,테슬라 선점가능한 재고차량 공유드립니다.,서울ll암령,2026.01.28. 10:09,조회 123,qkrgodnjs811,신입
208,[i4] 하이패스 (글로브박스) 질문점요,몽키Ii4I전주,2026.01.28. 10:08,조회 24,captaer,준회원
209,창원 후퍼옵틱 프나세 시공 잘하는 썬팅샵 추천 부탁드립니다~,크리스IeGV70I경남,2026.01.28. 10:08,조회 13,savior9317,준회원
210,ev9 vs 아이오닉9 님들의 선택은?,호잇잏,2026.01.28. 10:05,조회 161,korea4601,신입
211,생애 첫전기차 출고 기다립니다,루루비IEV4I부산,2026.01.28. 10:04,조회 71,ycy7393,신입
212,상반기 하반기 전기차 보조금 금액이 다를까요?,뚜르옹I부산,2026.01.28. 10:04,조회 124,98wkgjs,신입
213,인천도 공고 떴네요,인천IIPaulim,2026.01.28. 10:04,조회 114,konfuzilo,준회원
214,내연차 전환지원금 용인시청과 통화내용 공유드립니다.,츄츄트레인,2026.01.28. 10:02,조회 246,ajju75,신입
215,경남도청 항의글 예상했지만 복붙답변 ㅋㅋㅋ,유봉이I볼트EUVl창원,2026.01.28. 09:59,조회 624,didtlfwh,정회원
216,캐스퍼 ev 추가 구매 대기중인데 진짜 안나오네요,차한결,2026.01.28. 09:58,조회 119,jkal1245,준회원
217,화성시 보조금도 전반적으로 줄었네요,코마l아토3l화성,2026.01.28. 09:55,조회 107,pppoookkk,준회원
218,EV3 재고차,토니IEV3I인천,2026.01.28. 09:52,조회 364,dlgus456,신입
219,아이오닉9 승차감,성남II콩콩이,2026.01.28. 09:52,조회 214,miny6121,신입
220,ev3 휴대폰 거치는 어떻게 하면 좋을까요??,차한결,2026.01.28. 09:52,조회 64,jkal1245,준회원
221,Ev3 재고차 진짜 없나봐요,보라색우산I청주,2026.01.28. 09:51,조회 387,y0047400,신입
222,"춘천시, 전기차·수소차 보조금 지원 2일부터 접수",해I모y아5I서울,2026.01.28. 09:50,조회 14,hwajakim2,준회원
223,전기차 첫 구매시,훈트l세닉l부산,2026.01.28. 09:47,조회 28,bsh1538,신입
224,오늘 날씨가 많이 춥네요,삼부자I오닉5I충청,2026.01.28. 09:46,조회 7,ckstkfkd77,신입
225,헤이딜러 조회금액 실제 판매금액과 비슷한가요?,여행쪼하IEV4I남양주,2026.01.28. 09:46,조회 130,josepin909,준회원
226,새차 기다림은 언제나 즐겁네요,웅이I아6I서울,2026.01.28. 09:43,조회 29,klavierlove,준회원
227,수원시 26년 전기차 보조금 공고 예정이 나왔네요.,gbI미보유I수원,2026.01.28. 09:41,조회 76,yukikaze24,신입
228,테슬라 주니퍼 인도,둥이아빠I테슬라I김포,2026.01.28. 09:39,조회 59,wjsdbtjr77,준회원
229,휠 사이즈와 승차감 차이,찰란이l아5l진천,2026.01.28. 09:39,조회 256,jangjaedong0,신입
230,i3 (2016) car play 성공 !,비머돌이,2026.01.28. 09:34,조회 81,seokom,신입
231,ev3 vs ev5 오늘 결정해야 하는데 도움 좀 부탁드립니다,버텍ㅣ대구,2026.01.28. 09:32,조회 230,dsa01063,준회원
232,방금 전주 보조금 확정 됬다고 카마한테 연락왔네요,데드피l오닉5l전주,2026.01.28. 09:32,조회 252,knivesout,준회원
